代碼,標的名稱,風險等級,幣別,投資區域,國內外,類型1,類型2,標的類型,配息方式,標準差％,夏普值,β係數,漲跌％,漲跌,基金規模,成立日期,一個月％,三個月％,六個月％,今年來％,一年％,二年％,三年％,五年％,展望
5N06,群益華夏盛世基金-N累積,積極型,台幣,大中華,國內,跨國投資股票型區域型,跨國投資股票型區域型,國內-跨國投資股票型區域型,無,10.09,0.13,0.27,0,0,1.09億(),2018/2/5,-3.87,-0.67,-0.33,-0.67,5.42,-5.99,-25.44,-12.7,中國股市近期表現較佳，主要是因政府支持經濟的政策以及DeepSeek人工智慧（AI）突破所帶來的光環效應推動。惟因中國市場仍存在政策性風險，建議謹慎評估自身風險承受度再進行投資。
5N07,群益潛力收益多重資產基金-NA累積(本基金有相當比重投資於非投資等級之高風險債券),穩健型,台幣,全球,國內,多重資產型,多重資產型,國內-多重資產型,無,8.55,0.23,0.69,0.43,0.05,31.79億(),2019/9/6,-2.1,-2.3,1.38,-2.3,7.91,33.04,25.28,50.11,股票部位較能提供資本利得，債券部位則可提供合理收益水準，透過股債配置方式可降低投組波動，並有效分散投資風險，適合長期投資。
5N08,群益潛力收益多重資產基金-NB月配現(本基金有相當比重投資於非投資等級之高風險債券且配息來源可能為本金),穩健型,台幣,全球,國內,多重資產型,多重資產型,國內-多重資產型,月配,8.55,0.23,0.69,0.43,0.04,228.09億(),2019/7/23,-2.09,-2.3,1.4,-2.3,7.93,33.04,25.25,50.05,股票部位較能提供資本利得，債券部位則可提供合理收益水準，透過股債配置方式可降低投組波動，並有效分散投資風險，適合長期投資。
5N09,群益全民成長樂退組合基金-NB月配現(本基金有相當比重投資於持有非投資等級高風險債券之基金且配息來源可能為本金),穩健型,台幣,全球,國內,全球組合型平衡型,全球組合型平衡型,國內-全球組合型平衡型,月配,8.35,0.12,0.67,0.46,0.05,14.49億(),2019/7/23,-3.57,-3.8,-0.21,-3.8,4.6,31.12,23.4,65.31,股票部位較能提供資本利得，債券部位則可提供合理收益水準，透過股債配置方式可降低投組波動，並有效分散投資風險，適合長期投資。
5N10,群益印度中小基金N累積,積極型,台幣,印度,國內,跨國投資股票型單一國家,跨國投資股票型單一國家,國內-跨國投資股票型單一國家,無,23.4,0.01,1.38,-1.09,-0.2,4.65億(),2018/1/23,6.56,-16.55,-19.58,-16.55,-0.93,66.82,52.68,207.95,受惠廣大的國內市場，印度成長動能強勁。印度市場是以內資資金為主要參與對象，穩定的現金流挹注使印股表現較為穩健也突顯其投資優勢。
5O01,群益全球策略收益金融債券基金-NA美累積(本基金有一定比重得投資於非投資等級之高風險債券),穩健型,美元,全球,國內,債券型海外債券投資等級,債券型海外債券投資等級,國內-債券型海外債券投資等級,無,3.21,0.45,0.43,0.04,0,4.09億(),2019/10/8,0.05,1.4,0.68,1.4,6.38,15.57,8.55,22.78,金融債現階段仍處於折價狀態，惟若遇降息階段則較不利其表現，操作上建議以長期持有為主'。
5O02,群益全球策略收益金融債券基金-NB美月現(本基金有一定比重得投資於非投資等級之高風險債券且基金之配息來源可能為本金),穩健型,美元,全球,國內,債券型海外債券投資等級,債券型海外債券投資等級,國內-債券型海外債券投資等級,月配,3.21,0.45,0.43,0.04,0,4.11億(),2019/10/8,0.05,1.4,0.68,1.4,6.38,15.57,8.55,22.79,金融債現階段仍處於折價狀態，惟若遇降息階段則較不利其表現，操作上建議以長期持有為主'。
5O06,群益全球優先順位非投資等級債券NB美月現(本基金之配息來源可能為本金),穩健型,美元,全球,國內,債券型非投資等級債券型,債券型非投資等級債券型,國內-債券型非投資等級債券型,月配,2.65,0.42,0.68,0.05,0,5.36億(),2018/4/30,-0.77,0.72,0.12,0.72,5.12,13.53,10.41,25.45,受惠經濟成長，對利率敏感度較低，同時殖利率相對具吸引力，可作為投組中之穩定配置。
5O10,群益華夏盛世基金-N美元累積,積極型,美元,大中華,國內,跨國投資股票型區域型,跨國投資股票型區域型,國內-跨國投資股票型區域型,無,11.12,0.02,0.31,-0.03,0,0.86億(),2018/3/14,-4.99,-1.93,-4.97,-1.93,1.53,-13.79,-35.57,-20.31,中國股市近期表現較佳，主要是因政府支持經濟的政策以及DeepSeek人工智慧（AI）突破所帶來的光環效應推動。惟因中國市場仍存在政策性風險，建議謹慎評估自身風險承受度再進行投資。
5O11,群益華夏盛世基金-N人民幣累積,積極型,人民幣,大中華,國內,跨國投資股票型區域型,跨國投資股票型區域型,國內-跨國投資股票型區域型,無,10.84,0.03,0.26,0.22,0.02,0.54億(),2018/1/4,-4.9,-2.49,-1.14,-2.49,1.84,-8.67,-26.29,-18.49,中國股市近期表現較佳，主要是因政府支持經濟的政策以及DeepSeek人工智慧（AI）突破所帶來的光環效應推動。惟因中國市場仍存在政策性風險，建議謹慎評估自身風險承受度再進行投資。
5O12,群益潛力收益多重資產基金-NA美元累積(本基金有相當比重投資於非投資等級之高風險債券),穩健型,美元,全球,國內,多重資產型,多重資產型,國內-多重資產型,無,9.66,0.09,0.94,0.39,0.05,21.78億(),2018/12/5,-3.21,-3.52,-2.76,-3.52,3.96,22.05,8.42,37.27,股票部位較能提供資本利得，債券部位則可提供合理收益水準，透過股債配置方式可降低投組波動，並有效分散投資風險，適合長期投資。
5O13,群益潛力收益多重資產基金-NB美元月配現(本基金有相當比重投資於非投資等級之高風險債券且配息來源可能為本金),穩健型,美元,全球,國內,多重資產型,多重資產型,國內-多重資產型,月配,9.66,0.09,0.94,0.39,0.03,134.65億(),2018/12/5,-3.2,-3.52,-2.75,-3.52,3.98,22.06,8.4,37.23,股票部位較能提供資本利得，債券部位則可提供合理收益水準，透過股債配置方式可降低投組波動，並有效分散投資風險，適合長期投資。
5O14,群益潛力收益多重資產基金-NA人民幣累積(本基金有相當比重投資於非投資等級之高風險債券),穩健型,人民幣,全球,國內,多重資產型,多重資產型,國內-多重資產型,無,9.59,0.1,0.79,0.64,0.09,5.45億(),2018/12/5,-3.11,-4.07,0.74,-4.07,4.36,29.28,24.02,40.38,股票部位較能提供資本利得，債券部位則可提供合理收益水準，透過股債配置方式可降低投組波動，並有效分散投資風險，適合長期投資。
5O15,群益潛力收益多重資產基金-NB人民幣月現(本基金有相當比重投資於非投資等級之高風險債券且配息來源可能為本金),穩健型,人民幣,全球,國內,多重資產型,多重資產型,國內-多重資產型,月配,9.6,0.1,0.79,0.64,0.06,27.46億(),2018/12/5,-3.11,-4.07,0.75,-4.07,4.37,29.29,23.99,40.31,股票部位較能提供資本利得，債券部位則可提供合理收益水準，透過股債配置方式可降低投組波動，並有效分散投資風險，適合長期投資。
5O16,群益全民成長樂退組合基金-NB美元月配現(本基金有相當比重投資於持有非投資等級高風險債券之基金且配息來源可能為本金),穩健型,美元,全球,國內,全球組合型平衡型,全球組合型平衡型,國內-全球組合型平衡型,月配,9.69,0,0.92,0.42,0.04,6.48億(),2019/7/23,-4.66,-5,-4.29,-5,0.8,20.29,6.71,50.95,股票部位較能提供資本利得，債券部位則可提供合理收益水準，透過股債配置方式可降低投組波動，並有效分散投資風險，適合長期投資。
5O17,群益印度中小基金N美元累積,積極型,美元,印度,國內,跨國投資股票型單一國家,跨國投資股票型單一國家,國內-跨國投資股票型單一國家,無,22.57,-0.04,1.38,-1.37,-0.25,4.15億(),2018/3/5,5.37,-17.61,-22.88,-17.61,-4.54,53.07,32.04,181.12,受惠廣大的國內市場，印度成長動能強勁。印度市場是以內資資金為主要參與對象，穩定的現金流挹注使印股表現較為穩健也突顯其投資優勢。
5O18,群益印度中小基金N人民幣累積,積極型,人民幣,印度,國內,跨國投資股票型單一國家,跨國投資股票型單一國家,國內-跨國投資股票型單一國家,無,22.69,-0.04,1.3,-1.27,-0.29,0.63億(),2018/10/17,5.46,-18.08,-20.11,-18.08,-4.2,62.09,50.99,187.41,受惠廣大的國內市場，印度成長動能強勁。印度市場是以內資資金為主要參與對象，穩定的現金流挹注使印股表現較為穩健也突顯其投資優勢。
5P01,聯博全球非投資等級債券基金-N月配現(本基金之配息來源可能為本金),穩健型,台幣,全球,國內,債券型非投資等級債券型,債券型非投資等級債券型,國內-債券型非投資等級債券型,月配,3.27,0.38,0.4,0.12,0.01,124.98億(),2020/5/13,-0.82,0.92,1.5,0.92,5.68,16.88,13.43,,受惠經濟成長，對利率敏感度較低，同時殖利率相對具吸引力，可作為投組中之穩定配置。
5P02,聯博多元資產收益組合基金-N月配現(本基金得投資於非投資等級之高風險債券基金且配息來源可能為本金),穩健型,台幣,全球,國內,全球組合型平衡型,全球組合型平衡型,國內-全球組合型平衡型,月配,5.32,0.2,0.51,0.34,0.03,64.73億(),2020/5/13,-1.17,0.57,0.57,0.57,4.94,21.3,14.23,,股票部位較能提供資本利得，債券部位則可提供合理收益水準，透過股債配置方式可降低投組波動，並有效分散投資風險，適合長期投資。
5P03,聯博美國多重資產收益基金-N月配現(本基金得投資於非投資等級之高風險債券且配息來源可能為本金),穩健型,台幣,美國,國內,多重資產型,多重資產型,國內-多重資產型,月配,8.16,0.12,0.54,0.5,0.04,77.08億(),2021/1/26,-1.94,-1.86,0.24,-1.86,4.52,23.01,13.07,,股票部位較能提供資本利得，債券部位則可提供合理收益水準，透過股債配置方式可降低投組波動，並有效分散投資風險，適合長期投資。
5P04,聯博美國成長入息基金-N月配現(本基金並無保證收益及配息且配息來源可能為本金),穩健型,台幣,美國,國內,跨國投資股票型單一國家,跨國投資股票型單一國家,國內-跨國投資股票型單一國家,月配,15.55,0.08,0.73,0.68,0.07,44.04億(),2021/5/6,-4.29,-6.56,0.57,-6.56,4.65,46.75,38.49,,聚焦美國，投資產業別包含資訊科技、通訊服務、醫療保健等，相當多元分散，可趁此波震盪時進場布局。
5Q01,聯博全球非投資等級債券基金-N美元月配現(本基金之配息來源可能為本金),穩健型,美元,全球,國內,債券型非投資等級債券型,債券型非投資等級債券型,國內-債券型非投資等級債券型,月配,3.81,0.36,0.48,0.16,0.02,80.22億(),2020/5/13,-1.05,0.78,0.62,0.78,6.05,17.34,11.82,,受惠經濟成長，對利率敏感度較低，同時殖利率相對具吸引力，可作為投組中之穩定配置。
5Q02,聯博多元資產收益組合基金-N美元月配現(本基金得投資於非投資等級之高風險債券基金且配息來源可能為本金),穩健型,美元,全球,國內,全球組合型平衡型,全球組合型平衡型,國內-全球組合型平衡型,月配,6.63,0.13,0.67,0.32,0.04,53.74億(),2020/5/13,-1.71,0.03,-1.44,0.03,3.98,18.31,8.32,,股票部位較能提供資本利得，債券部位則可提供合理收益水準，透過股債配置方式可降低投組波動，並有效分散投資風險，適合長期投資。
5Q03,聯博美國多重資產收益基金-N美元月配現(本基金得投資於非投資等級之高風險債券且配息來源可能為本金),穩健型,美元,美國,國內,多重資產型,多重資產型,國內-多重資產型,月配,8.93,0.11,0.59,0.35,0.04,66.42億(),2021/1/26,-2.48,-2.3,-1.37,-2.3,4.21,22.72,11.61,,股票部位較能提供資本利得，債券部位則可提供合理收益水準，透過股債配置方式可降低投組波動，並有效分散投資風險，適合長期投資。
5Q04,聯博美國成長入息基金-N美元月配現(本基金並無保證收益及配息且配息來源可能為本金),穩健型,美元,美國,國內,跨國投資股票型單一國家,跨國投資股票型單一國家,國內-跨國投資股票型單一國家,月配,16.58,0.01,0.83,0.54,0.07,20.54億(),2021/5/6,-5.37,-7.75,-3.56,-7.75,0.75,34.69,19.74,,聚焦美國，投資產業別包含資訊科技、通訊服務、醫療保健等，相當多元分散，可趁此波震盪時進場布局。
5Q05,聯博多元資產收益組合基金-N人民幣月配現(本基金得投資於非投資等級之高風險債券基金且配息來源可能為本金),穩健型,人民幣,全球,國內,全球組合型平衡型,全球組合型平衡型,國內-全球組合型平衡型,月配,6.65,0.02,0.67,0.29,0.03,17.12億(),2020/12/23,-2.03,-0.49,-2.48,-0.49,1.39,12.3,1.16,,股票部位較能提供資本利得，債券部位則可提供合理收益水準，透過股債配置方式可降低投組波動，並有效分散投資風險，適合長期投資。
5Q06,聯博全球非投資等級債券基金N南非幣月配現(本基金之配息來源可能為本金),穩健型,南非幣,全球,國內,債券型非投資等級債券型,債券型非投資等級債券型,國內-債券型非投資等級債券型,月配,3.8,0.56,0.46,0.19,0.02,2.02億(),2021/3/16,-0.92,1.48,2.04,1.48,8.92,24.25,21.34,,受惠經濟成長，對利率敏感度較低，同時殖利率相對具吸引力，可作為投組中之穩定配置。
5R03,凱基收益成長多重資產基金N累積(本基金主要係投資於非投資等級之高風險債券),積極型,台幣,北美,國內,多重資產型,多重資產型,國內-多重資產型,無,9.29,0.21,0.79,0.34,0.04,2.05億(),2019/9/25,-2.51,-3.9,0.25,-3.9,7.72,24.21,13.98,51.75,股票部位較能提供資本利得，債券部位則可提供合理收益水準，透過股債配置方式可降低投組波動，並有效分散投資風險，適合長期投資。
5R04,凱基收益成長多重資產基金N月配現(本基金主要係投資於非投資等級之高風險債券且配息來源可能為本金),積極型,台幣,北美,國內,多重資產型,多重資產型,國內-多重資產型,月配,9.29,0.21,0.79,0.34,0.03,24.16億(),2019/9/25,-2.51,-3.9,0.24,-3.9,7.72,24.17,13.94,52.64,股票部位較能提供資本利得，債券部位則可提供合理收益水準，透過股債配置方式可降低投組波動，並有效分散投資風險，適合長期投資。
5S07,凱基收益成長多重資產基金N美元累積(本基金主要係投資於非投資等級之高風險債券),積極型,美元,北美,國內,多重資產型,多重資產型,國內-多重資產型,無,9.86,0.18,0.91,0.32,0.04,1.71億(),2019/9/25,-3.07,-4.32,-1.59,-4.32,7.21,24.3,14.55,56.09,股票部位較能提供資本利得，債券部位則可提供合理收益水準，透過股債配置方式可降低投組波動，並有效分散投資風險，適合長期投資。
5S08,凱基收益成長多重資產基金N美元月配現(本基金主要係投資於非投資等級之高風險債券且配息來源可能為本金),積極型,美元,北美,國內,多重資產型,多重資產型,國內-多重資產型,月配,9.86,0.18,0.91,0.32,0.03,10.48億(),2019/9/25,-3.06,-4.31,-1.58,-4.31,7.2,24.36,14.92,56.56,股票部位較能提供資本利得，債券部位則可提供合理收益水準，透過股債配置方式可降低投組波動，並有效分散投資風險，適合長期投資。
5T01,摩根大美國領先收成多重資產基金月配現後(本基金有相當比重投資於非投資等級之高風險債券且配息來源可能為本金或收益平準金),穩健型,台幣,美國,國內,多重資產型,多重資產型,國內-多重資產型,月配,,,,0.42,0.04,61.82億(),2024/8/27,-1.86,-2.42,-2.4,-2.42,,,,,股票部位較能提供資本利得，債券部位則可提供合理收益水準，透過股債配置方式可降低投組波動，並有效分散投資風險，適合長期投資。
5U01,摩根大美國領先收成多重資產基金美月配現後(本基金有相當比重投資於非投資等級之高風險債券且配息來源可能為本金或收益平準金),穩健型,美元,美國,國內,多重資產型,多重資產型,國內-多重資產型,月配,,,,0.52,0.05,37.53億(),2024/8/27,-2.15,-2.21,-2.19,-2.21,,,,,股票部位較能提供資本利得，債券部位則可提供合理收益水準，透過股債配置方式可降低投組波動，並有效分散投資風險，適合長期投資。
5U02,摩根大美國領先收成多重資產基金人月配現後(本基金有相當比重投資於非投資等級之高風險債券且配息來源可能為本金或收益平準金),穩健型,人民幣,美國,國內,多重資產型,多重資產型,國內-多重資產型,月配,,,,0.53,0.05,10.40億(),2024/8/27,-2.36,-2.81,-2.01,-2.81,,,,,股票部位較能提供資本利得，債券部位則可提供合理收益水準，透過股債配置方式可降低投組波動，並有效分散投資風險，適合長期投資。
5V01,統一全球新科技基金美元累積,積極型,美元,全球,國內,跨國投資股票型全球市場,跨國投資股票型全球市場,國內-跨國投資股票型全球市場,無,22.5,-0.06,1.54,0.52,0.2,10.28億(),2016/5/3,-11.9,-15.2,-10.78,-15.2,-5.59,47,11.84,141.19,川普關稅疑雲致全球股市震盪劇烈，不過基本面仍看好，建議可採左側交易，分批進場佈局。
5Y01,安聯全球生技趨勢基金-美元,積極型,美元,全球,國內,跨國投資股票型全球市場,跨國投資股票型全球市場,國內-跨國投資股票型全球市場,無,14.23,-0.19,1.17,-2.08,-0.23,0.95億(),2015/4/30,-5.66,-2.08,-13.08,-2.08,-8.84,-0.82,-6.72,26.82,屬波動較大之標的，但長線仍看好，建議可分批布局。
5Y02,安聯美國短年期非投資等級債基金B美元月現(本基金之配息來源可能為本金),穩健型,美元,美國,國內,債券型非投資等級債券型,債券型非投資等級債券型,國內-債券型非投資等級債券型,月配,5.25,0.06,1.19,-0.04,0,7.49億(),2019/5/3,-3.94,-3.65,-2.41,-3.65,2.15,10.42,9.35,26.31,受惠經濟成長，對利率敏感度較低，同時殖利率相對具吸引力，可作為投組中之穩定配置。
5Y03,安聯美國短年期非投資等級債基金A美元累積,穩健型,美元,美國,國內,債券型非投資等級債券型,債券型非投資等級債券型,國內-債券型非投資等級債券型,無,4.64,0.11,1.08,-0.04,0,2.00億(),2019/5/3,-3.21,-2.92,-1.67,-2.92,2.92,11.23,10.15,27.19,受惠經濟成長，對利率敏感度較低，同時殖利率相對具吸引力，可作為投組中之穩定配置。
5Y04,安聯四季豐收債券組合基金A-美元累積(本基金有一定比例之投資包含高風險非投資等級債券基金),穩健型,美元,全球,國內,全球組合型債券型,全球組合型債券型,國內-全球組合型債券型,無,3.6,0.33,0.49,0.17,0.02,1.26億(),2016/10/19,-0.68,1.33,0.1,1.33,5.38,15.94,11.75,22.01,債市殖利率普遍墊高，市場已反應聯準會將緩降息的預期，長天期公債殖利率恐仍有上揚風險。各債市中，公債或投資級債券殖利率仍顯著高於金融海嘯後平均水準。非投資級債之殖利率儘管較高，然而利差已降至低檔，需要嚴選持債。
5Y05,安聯四季豐收債券組合基金B-美元月配現(本基金有一定比例之投資包含高風險非投資等級債券基金且配息來源可能為本金),穩健型,美元,全球,國內,全球組合型債券型,全球組合型債券型,國內-全球組合型債券型,月配,3.76,0.28,0.48,0.17,0.01,0.70億(),2016/8/24,-1.09,0.91,-0.32,0.91,4.95,15.47,11.3,21.55,債市殖利率普遍墊高，市場已反應聯準會將緩降息的預期，長天期公債殖利率恐仍有上揚風險。各債市中，公債或投資級債券殖利率仍顯著高於金融海嘯後平均水準。非投資級債之殖利率儘管較高，然而利差已降至低檔，需要嚴選持債。
5Y06,安聯收益成長多重資產基金A-美元累積(本基金有相當比重投資於非投資等級之高風險債券),穩健型,美元,北美,國內,多重資產型,多重資產型,國內-多重資產型,無,7.6,0.08,0.53,0.3,0.04,8.61億(),2020/1/3,-2.65,-2,-0.45,-2,3.2,18.46,6.79,56.82,股票部位較能提供資本利得，債券部位則可提供合理收益水準，透過股債配置方式可降低投組波動，並有效分散投資風險，適合長期投資。
5Y07,安聯收益成長多重資產基金B-美元月配現(本基金有相當比重投資於非投資等級之高風險債券且配息來源可能為本金),穩健型,美元,北美,國內,多重資產型,多重資產型,國內-多重資產型,月配,7.92,0.05,0.55,0.36,0.03,23.08億(),2020/1/3,-3.38,-2.78,-1.3,-2.78,2.38,17.61,5.99,55.7,股票部位較能提供資本利得，債券部位則可提供合理收益水準，透過股債配置方式可降低投組波動，並有效分散投資風險，適合長期投資。
5Y08,安聯特別收益多重資產基金A-美元累積(本基金有相當比重投資於非投資等級之高風險債券),穩健型,美元,全球,國內,多重資產型,多重資產型,國內-多重資產型,無,5.2,0.15,0.43,0,0,2.85億(),2020/7/21,-1.56,0.19,-2.55,0.19,3.78,12.13,2.1,,股票部位較能提供資本利得，債券部位則可提供合理收益水準，透過股債配置方式可降低投組波動，並有效分散投資風險，適合長期投資。
5Y09,安聯特別收益多重資產基金B-美元月配現(本基金有相當比重投資於非投資等級之高風險債券且配息來源可能為本金),穩健型,美元,全球,國內,多重資產型,多重資產型,國內-多重資產型,月配,5.36,0.12,0.44,0.12,0.01,2.10億(),2020/7/21,-2.05,-0.34,-3.02,-0.34,3.28,11.56,1.67,,股票部位較能提供資本利得，債券部位則可提供合理收益水準，透過股債配置方式可降低投組波動，並有效分散投資風險，適合長期投資。
5Y10,安聯中國策略基金-美元,積極型,美元,中國,國內,跨國投資股票型區域型,跨國投資股票型區域型,國內-跨國投資股票型區域型,無,21.92,0.14,0.9,-0.44,-0.06,3.24億(),2018/9/12,-2.6,1.13,-5.87,1.13,10.15,-18.13,-35.54,0.22,中國股市近期表現較佳，主要是因政府支持經濟的政策以及DeepSeek人工智慧（AI）突破所帶來的光環效應推動。惟因中國市場仍存在政策性風險，建議謹慎評估自身風險承受度再進行投資。
5Y11,安聯AI收益成長多重資產基金A美元累積(本基金有相當比重投資於非投資等級之高風險債券),穩健型,美元,美國,國內,多重資產型,多重資產型,國內-多重資產型,無,,,,0.3,0.03,6.64億(),2024/8/28,-5.41,-6.04,-2.35,-6.04,,,,,股票部位較能提供資本利得，債券部位則可提供合理收益水準，透過股債配置方式可降低投組波動，並有效分散投資風險，適合長期投資。
5Y12,安聯AI收益成長多重資產基金B美元月配現(本基金有相當比重投資於非投資等級之高風險債券且配息來源可能為本金),穩健型,美元,美國,國內,多重資產型,多重資產型,國內-多重資產型,月配,,,,0.21,0.02,7.43億(),2024/8/28,-6.13,-6.7,-3.05,-6.7,,,,,股票部位較能提供資本利得，債券部位則可提供合理收益水準，透過股債配置方式可降低投組波動，並有效分散投資風險，適合長期投資。
5Z01,摩根多元入息成長基金-人民幣月配現(本基金並無保證收益及配息且配息來源可能為本金),穩健型,人民幣,全球,國內,全球組合型平衡型,全球組合型平衡型,國內-全球組合型平衡型,月配,5.19,0.16,0.46,0.62,0.06,11.47億(),2014/10/15,-2.09,-0.01,-0.79,-0.01,4.01,12.17,6.69,37.51,股票部位較能提供資本利得，債券部位則可提供合理收益水準，透過股債配置方式可降低投組波動，並有效分散投資風險，適合長期投資。
5Z02,摩根亞洲總合非投資等級債券基金-人月配現(本基金之配息來源可能為本金),穩健型,人民幣,亞洲,國內,債券型非投資等級債券型,債券型非投資等級債券型,國內-債券型非投資等級債券型,月配,4.01,0.13,0.47,0.08,0,0.25億(),2015/1/7,-0.53,0.22,-1.18,0.22,2.98,0.25,-1.76,-4.82,受惠經濟成長，對利率敏感度較低，同時殖利率相對具吸引力，可作為投組中之穩定配置。
5Z03,摩根泛亞太股票入息基金-人民幣月配現(本基金並無保證收益及配息且配息來源可能為本金),積極型,人民幣,亞太,國內,跨國投資股票型區域型,跨國投資股票型區域型,國內-跨國投資股票型區域型,月配,8.51,0.19,0.8,1.07,0.1,0.57億(),2014/10/20,-1.74,2.22,-4.04,2.22,6.74,12.17,1.35,55.92,美國汽車關稅政策拖累美股，亦同時壓抑亞股表現，風險屬性較積極者建議可採取左側交易，分批進場；保守型投資人較不建議。
5Z04,摩根新興雙利平衡基金-人民幣月配現(本基金有相當比重投資於非投資等級之高風險債券且配息來源可能為本金),穩健型,人民幣,新興市場,國內,股票債券平衡型跨國投資型,股票債券平衡型跨國投資型,國內-股票債券平衡型跨國投資型,月配,9.07,0.26,0.67,0.69,0.06,0.22億(),2015/4/17,-0.24,2.94,-1.81,2.94,9.43,16.02,3.62,37.84,股票部位較能提供資本利得，債券部位則可提供合理收益水準，而新興市場債券之殖利率相較成熟市場又會來的相對高些，透過股債配置方式可降低投組波動，並有效分散投資風險。
5Z05,摩根中國雙息平衡基金-人民幣累積型(本基金有相當比重投資於非投資等級之高風險債券且並無保證收益),穩健型,人民幣,中國,國內,股票債券平衡型跨國投資型,股票債券平衡型跨國投資型,國內-股票債券平衡型跨國投資型,無,13.4,0.22,0.52,-0.16,-0.03,2.85億(),2015/8/25,-1.18,1.99,-2.43,1.99,11.21,0.91,-6.92,9.02,中國近期表現較佳，惟因中國市場仍存在政策性風險，建議謹慎評估自身風險承受度再進行投資。
5Z06,"摩根中國雙息平衡基金-人民幣月配現(本基金有相當比重投資於非投資等級之高風險債券且配息來源可能為本金,且無保證收益及配息)",穩健型,人民幣,中國,國內,股票債券平衡型跨國投資型,股票債券平衡型跨國投資型,國內-股票債券平衡型跨國投資型,月配,13.39,0.22,0.52,-0.16,-0.02,6.31億(),2015/8/25,-1.18,1.99,-2.42,1.99,11.17,0.92,-6.91,8.73,中國近期表現較佳，惟因中國市場仍存在政策性風險，建議謹慎評估自身風險承受度再進行投資。
5Z08,摩根大美國領先收成多重資產基金人民幣累積(本基金有相當比重投資於非投資等級之高風險債券),穩健型,人民幣,美國,國內,多重資產型,多重資產型,國內-多重資產型,無,,,,0.51,0.05,1.86億(),2024/8/27,-2.37,-2.85,-1.98,-2.85,,,,,股票部位較能提供資本利得，債券部位則可提供合理收益水準，透過股債配置方式可降低投組波動，並有效分散投資風險，適合長期投資。
5Z09,摩根大美國領先收成多重資產基金人民月配現(本基金有相當比重投資於非投資等級之高風險債券且配息來源可能為本金或收益平準金),穩健型,人民幣,美國,國內,多重資產型,多重資產型,國內-多重資產型,月配,,,,0.53,0.05,2.19億(),2024/8/27,-2.46,-2.81,-2.01,-2.81,,,,,股票部位較能提供資本利得，債券部位則可提供合理收益水準，透過股債配置方式可降低投組波動，並有效分散投資風險，適合長期投資。
6001,第一金店頭市場,積極型,台幣,台灣,國內,國內股票開放型上櫃股票型,國內股票開放型上櫃股票型,國內-國內股票開放型上櫃股票型,無,17.08,-0.11,0.92,0.88,0.14,3.72億(),1997/7/23,-7.71,-8.39,-14.99,-9.83,-6.47,13.59,27.79,114.29,台股由其他電子、半導體、電腦及週邊設備、電子零組件等電子類股領跌下挫，建議可採左側交易方式，分批進場佈局。
6002,第一金小型精選,積極型,台幣,台灣,國內,國內股票開放型中小型,國內股票開放型中小型,國內-國內股票開放型中小型,無,15.8,-0.17,1.01,0.54,0.39,7.63億(),1998/8/13,-7.42,-9.33,-13.69,-10.84,-8.61,21.19,34.75,137.72,台股由其他電子、半導體、電腦及週邊設備、電子零組件等電子類股領跌下挫，建議可採左側交易方式，分批進場佈局。
6003,第一金電子,積極型,台幣,台灣,國內,國內股票開放型科技類,國內股票開放型科技類,國內-國內股票開放型科技類,無,21.14,-0.11,0.89,-0.22,-0.17,18.42億(),1999/7/19,-11.97,-13.23,-11.28,-14.94,-8.75,40.16,24.88,129.25,台股由其他電子、半導體、電腦及週邊設備、電子零組件等電子類股領跌下挫，建議可採左側交易方式，分批進場佈局。
6005,第一金亞洲科技,積極型,台幣,亞洲,國內,跨國投資股票型區域型,跨國投資股票型區域型,國內-跨國投資股票型區域型,無,15.65,0.05,0.33,1.23,0.42,5.69億(),2000/6/30,-6.72,0.73,0.64,0.73,2.91,35.81,27.9,103.88,數位轉型仍是多數企業的目標之一，且科技能顯著提高生產力、創造新商業模式，具備一定優勢。
6014,第一金全球非投資等級債券基金-累積型(本基金主要係投資於非投資等級之高風險債券),穩健型,台幣,全球,國內,債券型非投資等級債券型,債券型非投資等級債券型,國內-債券型非投資等級債券型,無,2.88,0.64,0.39,0.16,0.03,4.47億(),2009/5/21,0.31,1.88,2.96,1.88,7.79,20.89,13.66,31.09,受惠經濟成長，對利率敏感度較低，同時殖利率相對具吸引力，可作為投組中之穩定配置。
6015,第一金全球非投資等級債券基金-月配現(本基金主要係投資於非投資等級之高風險債券),穩健型,台幣,全球,國內,債券型非投資等級債券型,債券型非投資等級債券型,國內-債券型非投資等級債券型,月配,3,0.56,0.48,-0.41,-0.03,10.48億(),2009/8/6,-0.26,1.3,2.98,1.3,7.18,20.21,13.58,31.01,受惠經濟成長，對利率敏感度較低，同時殖利率相對具吸引力，可作為投組中之穩定配置。
6016,第一金創新趨勢基金─A,積極型,台幣,台灣,國內,國內股票開放型一般股票型,國內股票開放型一般股票型,國內-國內股票開放型一般股票型,無,18.13,-0.14,1.19,-0.18,-0.08,18.78億(),2010/10/21,-11.44,-12.58,-11.25,-14.06,-8.69,35.22,17.27,122.29,台股由其他電子、半導體、電腦及週邊設備、電子零組件等電子類股領跌下挫，建議可採左側交易方式，分批進場佈局。
